licence;iata;agence;Réseau;adresse;adresse2;adresse3;adresse4;BP;cp;ville;email;tel;fax;web;Contacts;;;;;;;;;
75950333;;Club Med Voyages;;31, rue Houdan;;;;;92330;SCEAUX;christine.chatelain@clubmed.com;01 41 87 90 70;01 41 87 90 75;www.clubmed.com;;;;;;;;;;
093050008;;Nouvelles Frontières;;31, rue Lamartine;;;;;97200;FORT-DE-FRANCE;fortdefrance.nf@nouvelles-frontieres.fr;05 96 70 74 30;05 96 70 76 42/43;www.nouvelles-frontieres.fr;Chef d'agence;Bonix Andréa;;;;;;;;
75990098;;CARLSON WAGONLIT VOYAGES;;31, rue Marbeuf;;;;;75008;PARIS;ag.ltparis.marbeuf@carlsonwagonlit.fr;0 826 825 468;0 826 825 568;;;;;;;;;;;
014960001;20214025;Les Baladins/Jet Tours;(Afat);31, rue Neuve St-Jean;;;;;14000;CAEN;baladins-voyages@wanadoo.fr;02 31 85 43 63;02 31 50 33 13;;Co-gérant;Hurel Odile;;;;;;;;
75000072;20258044;CWV/Sov;;31, rue René Goscinny;;;;;16000;ANGOULEME;ag.ltangouleme@carlsonwagonlit.fr;0 826 825 641;0 826 825 741;;;;;;;;;;;
75000072;20255712;Est Voyages/CWV;;31, rue Thiers;;;;;88100;SAINT-DIE;ag.ltstdie@carlsonwagonlit.fr;0 826 825 710;0 826 825 810;;Chef d'agence;Urban Marie-Odile;;;;;;;;
35070002;;Atea Voyages;(Selectour);31, rue Tronjolly;;;;;35000;RENNES;ateavoyages-tronjolly@selectour.com;02 99 31 89 44;0 820 20 70 78;;Directeur;Lucas André;;;;;;;;
059990001;;Lille International Travel;;310, bd Clémenceau;;;;;59700;MARCQ-EN-BAROEUL;convention@lilletravel.com;03 20 98 25 25;03 20 98 25 35;www.lilletravel.com;Gérant;de la Fouchardière Grégoire;;;;;;;;
083970001;;Marine Voyages/Club Med Voyages;;310, rue Jean Jaurès;;;;;83100;TOULON;jacques.desideri@clubmed.com;04 94 24 81 81;04 94 24 80 24;;Chef d'agence;Desideri Jacques;Directeur;Desideri Véronique;;;;;;
094950033;;URANIE VOYAGES;;311, rue de Charenton;;;;;75012;PARIS;charenton@uranie-voyages.com;01 43 44 98 98;01 43 44 96 41;;Chef d'agence;Ferreira Idalina;;;;;;;;
034950009;;Midi Libre Voyages/CWV;;312, cours Jean Monnet;;;;;30000;NIMES;ag.ltnimes.villeactive@carlsonwagonlit.fr;0 826 825 327;0 826 825 427;;Chef d'agence;Chapellier Annie;;;;;;;;
092040003;;Institutionnel Voyages;;3-13, rue Blondel;;;;;92400;COURBEVOIE;;01 41 16 52 52;01 41 16 54 54;www.connectfactory.com;;;;;;;;;;
093050008;;NOUVELLES FRONTIERES;;313, rue de Vaugirard;;;;;75015;PARIS;paris-convention.nf@nouvelles-frontieres.fr;01 56 08 19 93;01 56 08 13 48;;Chef d'agence;Delente-Doisy Gaëlle;;;;;;;;
092010013;;Stimlive Travel;;31-33, rue Jean Jaurès;;;;;92800;PUTEAUX;;01 42 04 30 92;01 41 38 29 36;;;;;;;;;;;
75000092;;CULTURES;;31-37, rue Gazan;;;;;75014;PARIS;cultures@wanadoo.fr;01 45 88 54 87;01 45 88 54 87;;Co-gérant;Chauvin Chantal;;;;;;;;
040950006;;Voyages Bacarrere;;315, route de St-Sever;;;;;40250;SOUPROSSE;bacarrere@wanadoo.fr;05 58 44 25 33;05 58 44 25 36;www.voyages-bacarrere.com;Chef d'agence;Bibes Dominique;;;;;;;;
075950375;;VOYAGES VIGNON;;32 , rue Vignon;;;;;75009;PARIS;jiscparis@wanadoo.fr;01 42 68 06 59;01 42 65 24 28;;Directeur;Osawa Makato;;;;;;;;
94980002;20231164;Ere Voyages;(Tourcom);32 bis, rue Louis Talamoni;;;;;94500;CHAMPIGNY;espacepro@erevoyages.com;01 47 06 10 80;01 47 06 10 79;www.erevoyages.com;Directeur;Oukaci Nouara;;;;;;;;
093060007;;Neuilly Voyages 93/Thomas Cook Voyages;;32, av. du Château;;;;;94300;VINCENNES;neuillyvoyages94@orange-business.fr;01 41 74 11 91;01 41 74 98 78;;;;;;;;;;;
092950011;20228386;Thomas Cook Voyages;;32, av. du Général-de-Gaulle;;;;;94160;SAINT-MANDE;saint.mande@thomascook.fr;01 43 98 89 60;01 43 98 89 65;www.thomascook.fr;;;;;;;;;;
012960015;20219916;Voyages Landes/Ambassade Fram;;32, bd de Guizard;;;;;12500;ESPALION;landes@triangle-voyages.com;05 65 51 17 00;05 65 48 20 26;www.triangle-voyages.com;Directeur;Carrie Géraldine;;;;;;;;
38950019;20284611;Bleu Voyages;(Selectour);32, bd de la République;;;;;38200;VIENNE;bleuvoyages-vienne@selectour.com;04 74 85 69 26;04 74 78 02 07;;Chef d'agence;Feroussier Chantal;;;;;;;;
011040001;;Garcia Voyages;;32, bd Gambetta;;;;;11100;NARBONNE;garcia.voyages@wanadoo.fr;04 68 65 83 22;04 68 65 83 24;;;;;;;;;;;
075030003;;ISLES PRESTIGE TRAVEL;;32, bd Saint Marcel;;;;;75005;PARIS;voyages@isles-prestige.com;01 43 31 41 28;01 43 31 40 76;www.isles-prestige.com;;;;;;;;;;
02A950012;20217050;Corse Itinéraires;(Afat);32, cours Napoléon;;;;BP 43 ;20000;AJACCIO;jjbessiere@corse-itineraires.fr;04 95 51 60 51;04 95 51 60 50;www.corse-intineraires.fr;Directeur;Bessiere Jean-Jacques;;;;;;;;
50960004;;Escapades Rollo;;32, Grande Rue;;;;;50530;SARTILLY;eric@voyages-rollo.com;02 33 48 80 09;02 33 48 84 70;;Directeur;Rollo Eric;;;;;;;;
45950010;20213115;Darbier Voyages;(Tourcom);32, place de la République;;;;;45200;MONTARGIS;montargis@darbier.com;02 38 85 07 13;02 38 89 07 54;www.darbier.com;;;;;;;;;;
006970001;20210116;Vence Voyages;(Selectour);32, place du Grand Jardin;;;;BP 126 ;06140;VENCE;vence@selectour.com;04 93 58 31 62;04 93 58 41 70;;Directeur;Beltrame Ghislaine;;;;;;;;
016980001;;SILC;(Séjours Int. Linguistiques et Culturels);32, Rempart de l'Est;;;;;16000;ANGOULEME;contact@silc.fr;05 45 97 41 00;05 45 97 41 42;www.silc.fr;Directeur produits;Bartet Véronique;Chef comptable;Bernard Francis;Directeur;Maury-Laribière Jean-Luc;;;;
31070002;;Annamtours Voyages;;32, route d'Espagne;;;;;31000;TOULOUSE;contact@annamtours-voyages.com;05 47 74 75 74;05 47 74 75 73;www.annamtours-voyages.com;;;;;;;;;;
971950019;;VAM Sopatour;;32, rue Achille René Boisneuf;;;;;97110;POINTE-A-PITRE;ppommez@vamvoyages.net;05 90 82 30 52;05 90 82 31 38;;Chef d'agence;Pommez Patricia;;;;;;;;
005950008;20220082;MS Voyages;(Manor);32, rue Carnot;;;;;05000;GAP;ms@msvoyages.com;04 92 52 47 00;04 92 52 57 77;;Chef d'agence;Garcia Marie-Christine;Directeur;Koubi René;;;;;;
44040002;;Club Voyages;;32, rue Chasles;;;;;78120;RAMBOUILLET;rambouillet@clubvoyages.com;01 34 83 23 71;01 34 83 37 06;www.club-voyages.fr;Chef d'agence;Delapierre Isabelle;;;;;;;;
038050001;;Sport Aventure Voyages;;32, rue Comboire;;;;;38130;ECHIROLLES;fred@sport-aventure.fr;04 76 63 38 00;04 76 63 17 52;;;;;;;;;;;
94060007;;Atem Voyages;;32, rue de Châteaudun;;;;;94200;IVRY-SUR-SEINE;atem@atemvoyages.com;01 46 70 11 90;01 46 70 39 80;www.atemvoyages.com;Directeur;Girard Alain;;;;;;;;
093060011;20211752;Wasteels Voyages/Thomas Cook Voyages;;32, rue de l'Hôtel des Postes;;;;;06000;NICE;nice@wasteels.fr;04 93 13 61 40;04 93 92 06 92;;Chef d'agence;Stroppa Patricia;;;;;;;;
44040002;;Club Voyages;;32, rue de Montreuil;;;;;94300;VINCENNES;vincennes@clubvoyages.com;01 43 28 43 09;01 43 65 38 54;www.club-voyages.fr;Chef d'agence;Escudero Corinne;;;;;;;;
013960041;;Pressense Voyages;(Afat);32, rue de Pressense;;;;;13001;MARSEILLE;pressense-voyages@wanadoo.fr;04 91 91 27 94;04 91 91 01 31;;;;;;;;;;;
076050003;;VOYAGES PARIS NORMANDIE;(Manor);32, rue de Provence;;;;;75009;PARIS;vpnparis@vpn.fr;01 53 25 20 20;01 53 25 20 10;;Chef d'agence;Velnon Nadine;;;;;;;;
91980001;;CARRE BLEU VOYAGES/JANCARTHIER VOYAGES;(Manor);32, rue des Rosiers;;;;;75004;PARIS;rosiers@jancarthier.fr;01 42 71 97 07;01 48 04 80 06;;Chef d'agence;Mekies Brigitte;;;;;;;;
092950011;;Thomas Cook Voyages;;32, rue du Calvaire;;;;;44000;NANTES;nantes.delorme@thomascook.fr;02 40 89 91 40;02 40 89 50 83;;;;;;;;;;;
041950005;;Simplon Voyages;(Tourcom);32, rue du Change;;;;;41100;VENDOME;vendome@simplon.fr;02 54 80 25 13;02 54 73 91 04;www.simplonvoyages.com;Directeur commercial;Guinot Laurent;;;;;;;;
035000002;;Salaün Holidays;;32, rue du Portail-Louis;;;;;49400;SAUMUR;saumur@salaun-holidays.com;02 41 51 35 55;02 41 51 08 37;;Chef d'agence;Bochereau Ghislaine;;;;;;;;
91980001;;CARRE BLEU VOYAGES/JANCARTHIER VOYAGES;(Manor);32, rue Faidherbe;;;;;75011;PARIS;faidherbe@jancarthier.fr;01 43 67 33 33;01 43 67 71 71;;Chef d'agence;Martins Povoas Carlos;;;;;;;;
075950065;;TRANSCONSEILS VOYAGES;;32, rue Le Peletier;;;;;75009;PARIS;transconseils@aol.com;01 45 26 33 18;;www.transconseils.com;Directeur;Derouard Josette;;;;;;;;
092960044;20225225;Réserver;(Selectour);32, rue Louis Rouquier;;;;;92300;LEVALLOIS;reserver-voyages@selectour.com;01 41 49 07 07;01 41 49 07 08;;Directeur;Waniart Laurence;;;;;;;;
017050001;;Transversales;;32, rue Réaumur;;;;;17000;ROCHELLE (LA);info@transversales.fr;05 46 55 44 33;05 46 44 98 02;www.transversales.fr;Chef d'agence;Jeanneau Sophie;;;;;;;;
084030004;;Ventoux Voyages/Ambassade Fram;;32, rue René Cassin;;;;BP 14 ;84170;MONTEUX;amelie.v@ventoux-voyages.fr;04 90 29 63 57;04 90 29 66 32;;;;;;;;;;;
076050003;;Voyages Paris Normandie;(Manor);32, rue Thiers;;;;;27130;VERNEUIL-SUR-AVRE;vpnverneuil@vpn.fr;02 32 32 05 45;02 32 32 68 39;www.voyagesparisnormandie.com;;;;;;;;;;
069950040;20260166;OVP/Jet Tours;(Selectour);32, rue Victor Bash;;;;;01000;BOURG-EN-BRESSE;jet-tours-bourg@ovp.fr;04 74 24 62 35;04 74 24 61 86;;PDG;Planche Loïc;;;;;;;;
38950016;;Carlson Wagonlit Voyages/Faure Tourisme;;321, av. Berthelot;;;;;69008;LYON;bachut@faure-tourisme.fr;04 72 78 85 50;04 78 01 46 12;;Chef d'agence;Gregorio Tina;;;;;;;;
033960007;20217536;Médoc Voyages;(Tourcom);328, av. Mal de Lattre de Tassigny;;;;;33200;BORDEAUX-CAUDERAN;medoc-voyages@wanadoo.fr;05 57 22 10 93;05 57 22 11 09;www.medoc-voyages.com;Chef d'agence;Dos-Santos-De-Frias Aurélia;;;;;;;;
075990046;;PARIS ETOILE VOYAGE;;33 , rue de l'Assomption;;;;;75016;PARIS;etoile.voyage@wanadoo.fr;01 45 25 64 80;01 45 24 55 95;;;;;;;;;;;
075950433;;Galeries Lafayette Voyages;;33 à 45, rue de Vesle;;;;;51100;REIMS;ayoriatti@carlsonwagonlit.fr;03 26 91 61 56;03 26 91 61 64;;;;;;;;;;;
075950221;;MARINAT VOYAGES;(Tourcom);33 bd de Latour-Maubourg;;;;;75007;PARIS;voyages7@marinat.com;01 47 53 94 94;01 47 53 86 46;;;;;;;;;;;
31950025;20268301;Euro Mop Voyages;(Afat);33 bis, rue Jean-Jaurès;;;;;31190;AUTERIVE;euromopvoyages@wanadoo.fr;05 61 50 55 55;05 61 50 03 34;;Chef d'agence;Louboutin Bernard;;;;;;;;
075950213;20222086;MAGICLUB VOYAGES;(Afat);33 bis, rue Saint-Amand;;;;;75015;PARIS;info@magiclub.com;01 48 56 20 00;01 48 56 16 72;www.magiclub.com;;;;;;;;;;
077030001;;Voyages 77/Jet Tours;(Tourcom);33, av. Charles Rouxel;;;;;77340;PONTAULT-COMBAULT;voyages.77@wanadoo.fr;01 60 28 42 36;01 64 43 95 45;;;;;;;;;;;
078950015;20254345;Mesnil Voyages/Thomas Cook Voyages;;33, av. de la Division Leclerc;;;;;78210;SAINT-CYR-L'ECOLE;reussite.cyr@thomascookfr.com;01 34 60 29 36;01 34 60 28 18;;Directeur;Casha Jean-Marie;;;;;;;;
75000028;;EURASIA TOURS;;33, av. des Champs Elysées;;;;;75008;PARIS;contact@eurasiatours.fr;01 56 69 12 80;01 42 89 16 25;www.eurasiatours.fr;Gérant;Lin Gensheng;;;;;;;;
44950016;20211693;Agence de Boüard;(Selectour);33, av. du Général de Gaulle;;;;BP 207 ;44600;SAINT-NAZAIRE;debouard-stnazaire@selectour.com;02 40 22 29 41;02 40 66 07 67;www.selectour-debouard.com;Chef d'agence;Tual Marie-Odile;;;;;;;;
014010002;;Vikings Voyages;;33, av. Victor-Hugo;;;;;14100;LISIEUX;resavik@wanadoo.fr;02 31 48 58 58;02 31 48 58 50;;Directeur;Mazeron Nicole;;;;;;;;
075030015;2026979;VOYAGES FEELING;(Manor);33, bd de Courcelles;;;;;75008;PARIS;feeling@voyages-feeling.fr;01 44 69 86 86;01 45 62 29 74;www.voyages-feeling.fr;;;;;;;;;;
078950040;20226323;Saint Nom La Bretèche Voyages/Jet Tours;;33, bd Fernand Hostachy;;;;;78290;CROISSY SUR SEINE;croissy.voyages@vianeo.com;01 30 15 06 06;01 30 15 06 02;;Chef comptable;Lequien Patrick;;;;;;;;
035950015;;Jollivet Voyages;(Afat);33, bd Magenta;;;;;35000;RENNES;magenta@voyages-jollivet.com;02 99 30 65 44;02 99 31 31 98;;;;;;;;;;;
059960007;;Tournor/Thomas Cook Voyages;;33, Grande Rue (Affaires);;;;;59100;ROUBAIX;tournor@tournor.fr;03 20 47 03 51;03 20 67 04 30;;Chef d'agence;Lemaire Sylvie;;;;;;;;
054960001;20201274;Havas Voyages/Prêt à Partir;;33, place de la République;;;;;51000;CHALONS-EN-CHAMPAGNE;chalons@pretapartir.fr;03 26 68 00 61;03 26 21 49 63;;;;;;;;;;;
38960002;;Bleu Voyages;(Selectour);33, place des Pavillons;;;;;69007;LYON;bleuvoyages-gerlandtourisme@selectour.com;04 78 69 27 58;04 78 69 48 72;;Chef d'agence;Tozi Stéphanie;;;;;;;;
092950011;20211251;Thomas Cook Voyages;;33, place du Maréchal Leclerc;;;;;86000;POITIERS;poitiers@thomascook.fr;05 49 30 33 83;05 49 30 33 74;www.thomascook.fr;;;;;;;;;;
075990084;;FRANCE TOURISME;;33, quai des Grands Augustins;;;;;75006;PARIS;info@francetourisme.fr;01 53 10 35 35;01 53 10 35 36;www.francetourisme.fr;Directeur;de Richecour Ghislain;;;;;;;;
92960016;20223895;ETC;(Export Travel Conseil) (Afat);33, rue d'Aguesseau;;;;;92100;BOULOGNE BILLANCOURT;etc@afatvoyages.fr;01 46 05 80 70;01 46 05 38 21;;Chef d'agence;Facon Nathalie;;;;;;;;
078960014;20260052;Omni Voyages;(Afat);33, rue de la Paroisse;;;;;78000;VERSAILLES;omniv@free.fr;01 39 50 21 17;01 39 53 36 83;;Directeur;Vandepoorter Jacques;;;;;;;;
064950024;;Passion Côte Basque Int.;;33, rue de Madrid;;;;;64200;BIARRITZ;contact@passion-cote-basque.com;05 59 24 36 05;05 59 24 14 76;www.passion-cote-basque.com;Directeur;Lansade Martine;Chef d'agence;Puginier Olivia;;;;;;
87950002;;ETL Voyages;;33, rue des Tanneries;;;;;87000;LIMOGES;e.t.l.v@wanadoo.fr;05 55 32 57 50;05 55 32 57 41;www.galaxy-voyages.com;Chef d'agence;Dauge Corinne;;;;;;;;
6040002;;Couleurs du Monde;(Afat);33, rue d'Ormesson;;;;;6110;CANNET (LE);cecile@couleurs-du-monde.fr;04 93 99 99 18;04 93 68 61 56;;;;;;;;;;;
032950004;;VIP Voyages;;33, rue du Comté;;;;BP 28 ;32000;AUCH;vip.voyages@wanadoo.fr;05 62 05 68 63;05 62 05 93 11;www.vip-voyages.com;Chef d'agence;Tapie Jean;;;;;;;;
075990030;;PERIPLES LOINTAINS;;33, rue du Fg Montmartre;;;;;75009;PARIS;agence@periples-lointains.fr;01 53 24 66 88;01 48 01 08 00;www.periples-lointains.fr;Chef d'agence;Mengelle Jean-François;;;;;;;;
094950033;2022148;Uranie Voyages;;33, rue du Général-de-Gaulle;;;;;94510;QUEUE-EN-BRIE (LA);q.brie@uranie-voyages.com;01 45 94 44 88;01 45 94 48 05;www.uranie-voyages.com;Directeur;Pereira Antoine;Chef d'agence;Pinto Sandro;Directeur commercial;Torres Elsa;;;;
092950011;20243182;Thomas Cook Voyages;;33, rue du Neufbourg;;;;;50000;SAINT-LO;saint.lo.neufbourg@thomascook.fr;02 33 56 65 65;02 33 56 69 69;www.thomascook.fr;Chef d'agence;Lebonnois Marie-Carmen;;;;;;;;
79970001;;Bressuire Voyages/Voyages Bertrand/Ambassade Fram;;33, rue Gambetta;;;;;79300;BRESSUIRE;bressuire.voyages@fr.oleane.com;05 49 74 32 15;05 49 74 66 03;;Directeur;Bertrand Jean-François;;;;;;;;
049950012;20250263;Richou Voyages;(Tourcom);33, rue Gargoulleau;;;;;17000;ROCHELLE (LA);larochelle@richou.fr;05 46 55 15 55;05 46 55 15 56;www.richou.fr;Directeur;Richou Daniel;;;;;;;;
092950011;20297410;Thomas Cook Voyages;;33, rue Jean Macé;;;;;29200;BREST;brest@thomascook.fr;02 98 80 05 43;02 98 44 18 37;www.thomascook.fr;;;;;;;;;;
65960010;20222510;Art Accueil Voyages;(Afat);33, rue Larrey;;;;;65000;TARBES;artaccueilvoyages@wanadoo.fr;05 62 93 62 93;05 62 93 69 09;;Directeur;Tre-Hardy Laure;;;;;;;;
006960020;20223125;Lepante Voyages;(Tourcom);33, rue Lepante;;;;;06000;NICE;lepante-voyages@wanadoo.fr;04 93 80 10 12;04 93 80 00 26;;Directeur;Gallo Simone;;;;;;;;
92050008;;Arian Tours;;33, rue Louis Rolland;;;;BP 118 ;92120;MONTROUGE;info@arian-tours.com;01 47 35 32 64;01 47 35 32 64;www.arian-tours.com;;;;;;;;;;
031010004;20256762;Fram Voyages;;33, rue Paul Vaillant Couturier;;;;;95100;ARGENTEUIL;agence.argenteuil@fram.fr;0 826 46 61 79;01 30 76 73 22;;;;;;;;;;;
029050002;;Salaün Holidays;;33, rue Poterie;;;;;35500;VITRE;vitre@salaun-holidays.com;02 23 55 15 20;02 99 74 76 50;www.salaun-holidays.com;Chef d'agence;Restif Agathe;;;;;;;;
76990003;;Central Tour;;33, rue Saint-Jacques;;;;;76200;DIEPPE;centraltour.dieppe@wanadoo.fr;02 32 14 41 75;02 32 14 41 76;;Chef d'agence;Josse Ida;;;;;;;;
075060026;;TSARA VOYAGES;;33, rue Truffaut;;;;;75017;PARIS;infos@tsaravoyages.com;01 42 93 55 07;01 42 93 51 46;www.tsaravoyages.com;;;;;;;;;;
075960067;20276152;Jancarthier Voyages;(Manor);33, rue Victor Hugo;;;;;69002;LYON;lyon2@jancarthier.fr;04 72 77 81 91;04 72 77 81 99;;Chef d'agence;Prat Jérôme;;;;;;;;
075950486;;QUIZTOUR;;33/35, rue de Chazelles;;;;;75017;PARIS;alterego@quiz-site.com;01 56 79 22 40;01 56 79 07 17;www.quiz-site.com;Directeur technique;Pierre Isabelle;Directeur;Rayroux Michel;;;;;;
059040004;;STS Séjours Linguistiques;;33/35, rue Faidherbe;;;;BP 40177 ;59000;LILLE;sejours.linguistiques@sts.fr;03 28 36 27 27;03 28 36 27 28;www.sts.fr;Chef d'agence;Becu Yannick;;;;;;;;
94010006;20254076;Differences Voyages;;33-35, rue Ledru Rollin;;;;;94200;IVRY-SUR-SEINE;michel@differences.fr;01 56 20 02 02;01 56 20 02 00;;Chef d'agence;Cohen Michel;;;;;;;;
057960006;;Gyga Voyages;(Selectour);337, rue de Metz;;;;;57300;MONDELANGE;mondelange@gygavoyages.fr;03 87 70 88 40;03 87 70 88 48;;;;;;;;;;;
085990001;;Loire Océan Voyages/Ambassade Fram;;34 bis, bd de l'Egalité;;;;;85800;SAINT-GILLES-CROIX-DE-VIE;loire-ocean.gilles85@orange.fr;02 28 10 04 00;02 28 10 03 40;;;;;;;;;;;
75960041;;EUROLAND;;34 bis, rue Vignon;;;;;75009;PARIS;euroland@euroland-its.com;01 42 66 26 96;01 42 66 12 34;www.euroland-its.com;Directeur;Jogant Caroll;;;;;;;;
92970007;20229436;Antony 'M Voyages;;34, av. de la Division Leclerc;;;;;92160;ANTONY;amv@antonymvoyages.fr;01 40 96 93 13;01 40 96 08 39;;Directeur;Michaud Isabelle;;;;;;;;
74950003;;Annemasse Voyages/Ambassade Ailleurs Voyages;(Afat);34, av. de la Gare;;;;;74100;ANNEMASSE;annemasse.voyages@wanadoo.fr;04 50 92 74 74;04 50 37 29 13;www.annemasse-voyages.fr;Directeur;Lasabatie Françoise;;;;;;;;
075050003;;Ludovic Tourisme;(Manor);34, av. de la République;;;;;06000;NICE;republique@jancarthier.fr;04 92 04 94 04;04 93 55 27 47;;Chef d'agence;Frixa Christelle;;;;;;;;
093050008;;Nouvelles Frontières;;34, av. de la République;;;;;44600;SAINT-NAZAIRE;stnazaire.nf@nouvelles-frontieres.fr;02 51 76 03 27;02 51 76 12 05;www.nouvelles-frontieres.fr;Chef d'agence;Tastet Thierry;;;;;;;;
75960023;;BOILORIS/JET TOURS/THOMAS COOK VOYAGES;;34, av. de l'Opéra;;;;;75002;PARIS;opera@boiloris.com;01 47 42 06 92;01 47 42 57 02;;Chef d'agence;Lefebvre Chantal;;;;;;;;
075080011;;VISAVIS MOSKOVA EXPRESS;;34, av. des Champs-Elysées;;;;;75008;PARIS;paris-visavis@wanadoo.fr;01 42 25 09 30;01 42 25 04 10;;;;;;;;;;;
33970013;20229484;E. Leclerc Voyages;;34, av. Descartes;;;;;33160;SAINT-MEDARD-EN-JALLES;pascal.guerra@scaso.fr;05 56 70 80 95;05 56 70 80 65;www.leclercvoyages.com;Chef d'agence;Guerra Pascal;;;;;;;;
092950011;;THOMAS COOK VOYAGES;;34, av. du GI Leclerc;;;;;75014;PARIS;paris.leclerc@thomascook.fr;01 53 90 31 50;01 45 45 20 66;;;;;;;;;;;
075960023;;Jet Tours/Thomas Cook Voyages;;34, av. Foch;;;;;77500;CHELLES;chelles@boiloris.com;01 64 21 48 65;01 60 08 86 43;;Chef d'agence;Fouché Christine;;;;;;;;
069950038;;Voyages Mar Sol;;34, av. Jean-Jaurès;;;;;69007;LYON;marsolvoyages@orange.fr;04 78 61 73 41;04 78 58 67 12;www.marsolvoyages.com;Gérant;Pereira Armando;;;;;;;;
13950006;;Echappée à travers le Monde;;34, bd de la Libération;;;;;13001;MARSEILLE;;04 91 48 55 25;04 91 47 58 31;;Directeur;Aiglon Christiane;;;;;;;;
002960001;20224680;Lefort Evasion;;34, bd Milet;;;;BP 38 ;02600;VILLERS-COTTERETS;lefort.evasion@wanadoo.fr;03 23 96 32 30;03 23 96 24 17;;Directeur commercial;Decroocq Axelle;Directeur;Lefort François;Chef d'agence;Marivain Fanny;;;;
031980005;;Sites Tours;;34, bd Riquet;;;;;31000;TOULOUSE;infos@sites-tours.com;05 61 63 46 62;05 61 63 76 74;www.sites-tours.com;Chef d'agence;Bilfeld Maurice;;;;;;;;
13960070;20202696;Bouscarle Voyages;(Selectour);34, cours Forbin;;;;;13120;GARDANNE;bouscarle-gardanne@selectour.com;04 42 12 60 30;04 42 58 27 74;;Directeur;Martins Nicole;;;;;;;;
075990098;;Voyages Dépêche/CWV;;34, Grand Rue;;;;;81500;LAVAUR;ladepechevoyageslavaur@wanadoo.fr;05 63 41 45 44;05 63 58 31 85;;Chef d'agence;Favarel Véronique;;;;;;;;
67980003;;Braun voyages;;34, Grand'Rue;;;;;67430;DIEMERINGEN;voyages.braun@libertysurf.fr;03 88 00 40 84;03 88 00 04 71;www.voyages-braun.fr;Directeur;Braun J.P.;;;;;;;;
075970037;;PALM'AIR;;34, rue de Clignancourt;;;;;75018;PARIS;palmair@wanadoo.fr;01 42 54 66 66;01 42 54 68 28;;Directeur;Boumessouer Zouhir;;;;;;;;
014960002;20230744;Voyages la Fontaine;(Tourcom);34, rue de la Fontaine;;;;BP 218 ;14000;CAEN;voyages.lafontaine@wanadoo.fr;02 31 86 44 44;02 31 79 63 97;;Directeur;Breuillac Alain;;;;;;;;
057950018;20217223;Voyages Franzen;(Afat);34, rue de la Houve;;;;;57150;CREUTZWALD;franzen.voyages@wanadoo.fr;03 87 82 23 39;03 87 82 56 49;;Directeur;Franzen Lothar;Chef d'agence;Labovet Raymonde;;;;;;
092950011;20282216;Thomas Cook Voyages;;34, rue de la Marne;;;;;51000;CHALONS-EN-CHAMPAGNE;chalons.en.champagne@thomascook.fr;03 26 64 78 78;03 26 64 78 79;www.thomascook.fr;Chef d'agence;Daniel Sylvie;;;;;;;;
44970004;;D.V. Atlantic;;34, rue de la Patouillerie;;;;;44000;NANTES;contact@dvatlantic.fr;02 51 13 21 32;02 51 13 21 39;;Chef d'agence;Morel Jean-Paul;;;;;;;;
092950011;20208005;Thomas Cook Voyages;;34, rue de la République;;;;;84100;ORANGE;orange@thomascook.fr;04 90 11 44 44;04 90 51 75 78;www.thomascook.fr;;;;;;;;;;
092950011;;Thomas Cook Voyages;;34, rue de la République;;;;;45000;ORLEANS;orleans.34.republique@thomascook.fr;02 38 42 11 80;02 38 62 77 17;;Chef d'agence;Salle Martine;;;;;;;;
075030015;2026979;VOYAGES FEELING;(Manor);34, rue de Laborde;;;;;75008;PARIS;feeling@voyages-feeling.fr;0 825 886 886;01 44 70 90 83;;;;;;;;;;;
57950005;;Euro Moselle Loisir/Thomas Cook Voyages;;34, rue de l'Ancien Hôpital;;;;;57100;THIONVILLE;thionville@euromoselleloisirs.fr;03 82 53 26 26;03 82 53 19 36;;Chef d'agence;Defranoux Céline;;;;;;;;
018960006;;WATICAR;;34, rue de l'Exposition;;;;;75007;PARIS;;01 56 79 05 15;01 56 79 05 16;www.waticar.com;Directeur;Barre-Moreaux Christelle;;;;;;;;
035000002;;Salaün Holidays;;34, rue de Liège;;;;;56100;LORIENT;lorient@salaun-holidays.com;02 97 84 14 80;02 97 84 14 89;www.salaun-holidays.com;Chef d'agence;Guyader Olivia;;;;;;;;
094950020;20219566;Phileas Voyages;(Selectour);34, rue de Paris;;;;;94340;JOINVILLE-LE-PONT;phileas-joinville@selectour.com;01 42 83 63 63;01 42 83 63 91;;Directeur;Bordier Michele;;;;;;;;
91950006;20230943;Egide Voyages;(Selectour);34, rue d'Estienne d'Orves;;;;;91370;VERRIERES-LE-BUISSON;egide-verrieres@selectour.com;01 69 30 16 50;01 69 20 79 07;www.egide-voyages.fr;Directeur;Niochau Frederic;;;;;;;;
075950433;20236285;Galeries Lafayette Voyages;;34, rue du 22 Novembre;;;;;67000;STRASBOURG;emichel@carlsonwagonlit.fr;03 88 15 75 10;03 88 15 75 11;;Chef d'agence;Michel Emmanuelle;;;;;;;;
041010001;20243370;La Boussole/Thomas Cook Voyages;;34, rue du Change;;;;;41100;VENDOME;thomascook.boussole@wanadoo.fr;02 54 77 78 10;02 54 73 25 79;;Directeur;Moreau Anne;;;;;;;;
